text,label
Aquela vontade de acabar com a minha vida voltou,1
to triste e com vontade de acabar com a minha vida,1
Corinthians ta querendo acabar com minha vida mesmo,0
Alguém poderia por favor me dar um tiro a acabar com a minha vida,1
TAYLOR TU VAI acabar com a minha vida MULHER,0
Eu vou assistir o jogo todo puto mais uma vez. Esse velho maldito vai conseguir acabar com a minha vida,0
Alguem pode me.indicar uma série uma boa q vai acabar com a minha vida social pelas próximas semanas??,0
tenho 76 slides p estudar obg faculdade por acabar com a minha vida social,0
eu nao concordei com um tweet da fernanda agora ela desenterrou um hit meu pra acabar com a minha vida acho lindo a amizade pósmoderna,0
sessão de foto pra acabar com a minha vida esse fudido  ,0
quem te deu permissão pra acabar com a minha vida desse jeito seu fdp te amo demais bixo escroto da minha vida todinha 333,0
Se eu decidir acabar com minha vida hoje vai ser ótimo pq realmente eu não aguento mais,1
Galo vai acabar com minha vida acadêmica,0
Escola vai acabar com minha vida social é isso,0
Q lindo tem resumo e report de ing e ainda mais slides de artes tudo pra seg sendo é véspera de prova Esses projetos tão tentando acabar com minha vida juro,0
Esse meu vizinho quer acabar com a minha vida  colocando esses pagodes que dói até a alma.,0
A madonna quer acabar com a minha vida mesmo pic.twitter.comS23kg7Ocn5,0
eu não penso em suicídio há uns dois anos mas isso não significa que eu não pense em morrer. eu nunca faria algo para acabar com minha vida  mas eu desejo o fim dela frequentemente. é estranho,1
a única pessoa que eu podia desabafar e de fato me entendia eu consegui deixar escapar e como me disseram isso foi o gatilho que faltava pra me dar coragem de acabar com a minha vida . mas calma. ninguém tem culpa de nada. ninguém além de mim.,1
esse professor de comunicação meios e significados quer acabar com minha vida,0
eu ouço que é coisa da minha idade e que vai passar q eu só tô em uma baita crise existencial. SE FOSSE SÓ ISSO EU NÃO ESTARIA NESSE PONTO DE JÁ TER TENTANDO acabar com a minha vida poxa ninguém consegue se colocar no meu lugar? não é impossível.,1
jungkook você ama acabar com a minha vida né??,0
Game of Thrones está voltando para acabar com minha vida,0
Vontade mesmo de mandar tudo pro ar e até mesmo acabar com minha vida,1
e eu achando que essas fotos não iriam acabar com a minha vida até after 2 pic.twitter.comy9koF4PRdn,0
ela vai voltar pra acabar com a minha vida  ,0
