Modelo,Representação,Melhores Params,F1-Score (CV)
Random Forest,TF-IDF,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.8784
Random Forest,BoW,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.8705
XGBoost,TF-IDF,"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 200, 'subsample': 1.0}",0.8668
Gradient Boosting,TF-IDF,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.8657
XGBoost,Word2Vec,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 100, 'subsample': 1.0}",0.8625
Gradient Boosting,Word2Vec,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.8561
Random Forest,Word2Vec,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.8532
Gradient Boosting,BoW,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.8509
XGBoost,BoW,"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 200, 'subsample': 1.0}",0.8492
Gradient Boosting,GloVe,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.8478
Random Forest,GloVe,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.8477
XGBoost,GloVe,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 200, 'subsample': 0.8}",0.8446
AdaBoost,TF-IDF,"{'learning_rate': 1.5, 'n_estimators': 200}",0.834
AdaBoost,Word2Vec,"{'learning_rate': 1.5, 'n_estimators': 200}",0.8265
AdaBoost,BoW,"{'learning_rate': 1.5, 'n_estimators': 200}",0.8048
AdaBoost,GloVe,"{'learning_rate': 1.0, 'n_estimators': 200}",0.8021
